pid,gender,ibirthy,age_range,qg11_2014,qg11_2016,qg11_2018,qg11_2020,qg11_2022
620429104,1,1987,27-35,4000,NA,6000,6000,16000
620470105,1,1995,19-27,2500,NA,3500,7000,6000
620460104,1,1984,30-38,NA,NA,3000,3800,5500
620476104,1,1988,26-34,4500,NA,4000,5000,5000
620470104,0,1993,21-29,NA,NA,3000,3000,NA
620592103,1,1990,24-32,4000,NA,6000,5000,4000
620588104,1,1991,23-31,NA,3000,3500,3600,5000
620591104,1,1992,22-30,NA,NA,4000,5000,5500
621513105,1,1977,37-45,5000,NA,NA,3500,NA
621511103,1,1986,28-36,3000,NA,5000,5000,4600
